GROUP,,,,,,,,,,,,,,"[u'580:X_Voq(0mT)', u'4325:NB_Uout@0mT']"
DISTANCE,,,,,,,,,,,,,,near

RULE,MVBIN,SBIN,HBIN,Parameter, SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,1:rule5,1:rule5_zscore
PID-1127,0,1,1,PID-1127,1,1,35,40,0,7.395,267,249028,24,0.862566458104,-0.493270419548
PID-1128,0,1,1,PID-1128,1,1,36,40,1,7.526,267,249028,24,0.488452800055,-1.21234759472
PID-1129,0,1,1,PID-1129,1,1,36,41,2,7.546,267,249028,24,1.70987198747,0.733060785827
PID-113,0,1,1,PID-113,1,1,40,15,3,7.398,267,249028,24,1.57875372798,0.560777311493
PID-1130,0,1,1,PID-1130,1,1,35,41,3,7.556,267,249028,24,1.77416654961,0.817074690144
PID-1131,0,1,1,PID-1131,1,1,37,40,0,7.394,267,249028,24,1.55979221698,0.535429590181
PID-1132,0,1,1,PID-1132,1,1,38,40,1,7.453,267,249028,24,0.750873459651,-0.687999041115
PID-1133,0,1,1,PID-1133,1,1,38,41,2,7.546,267,249028,24,0.799573243416,-0.601207295594
PID-1134,0,1,1,PID-1134,1,1,37,41,3,7.556,267,249028,24,0.839225197773,-0.532233109106
PID-1135,0,1,1,PID-1135,1,1,40,40,0,5.896,267,249028,24,1.83691447184,0.896393691516
PID-1136,0,1,1,PID-1136,1,1,41,40,1,5.967,267,249028,24,2.30681244945,1.4767628491
PID-1137,0,1,1,PID-1137,1,1,41,41,2,5.99,267,249028,24,1.40054462291,0.319204180465
PID-1138,0,1,1,PID-1138,1,1,42,40,0,7.28,267,249028,24,1.67668073716,0.6900496169
PID-1139,0,1,1,PID-1139,1,1,43,40,1,7.288,267,249028,24,0.597087697619,-0.979248782253
PID-114,0,1,1,PID-114,1,1,37,14,0,5.867,267,249028,24,2.23877280585,1.39473261694
PID-1140,0,1,1,PID-1140,1,1,43,41,2,7.439,267,249028,24,2.35917344802,1.54031794304
PID-1141,0,1,1,PID-1141,1,1,42,41,3,7.447,267,249028,24,0.531853512527,-1.11719611344
PID-1142,0,1,1,PID-1142,1,1,44,40,0,7.248,267,249028,24,0.689202069879,-0.800064485863
PID-1143,0,1,1,PID-1143,1,1,45,40,1,7.343,267,249028,24,1.47459358043,0.420793957198
PID-1144,0,1,1,PID-1144,1,1,45,41,2,7.4,267,249028,24,0.181748859765,-2.13389705977
PID-1145,0,1,1,PID-1145,1,1,44,41,3,7.409,267,249028,24,0.506745647713,-1.17195290187
PID-1146,0,1,1,PID-1146,1,1,47,40,0,5.875,267,249028,24,0.334042119462,-1.60209563749
PID-1147,0,1,1,PID-1147,1,1,48,40,1,5.952,267,249028,24,1.35887599865,0.260730187799
PID-1148,0,1,1,PID-1148,1,1,48,41,2,5.969,267,249028,24,1.74347169521,0.777120023482
PID-1149,0,1,1,PID-1149,1,1,49,40,0,7.324,267,249028,24,1.32677626128,0.215752623431
PID-115,0,1,1,PID-115,1,1,38,14,1,5.898,267,249028,24,2.55405116885,1.77154963554
PID-1150,0,1,1,PID-1150,1,1,50,40,1,7.417,267,249028,24,2.37266996989,1.55585816149
PID-1151,0,1,1,PID-1151,1,1,50,41,2,7.478,267,249028,24,0.963503561176,-0.327502959833
PID-1152,0,1,1,PID-1152,1,1,49,41,3,7.486,267,249028,24,1.07155839983,-0.158413468404
PID-1153,0,1,1,PID-1153,1,1,51,40,0,7.397,267,249028,24,1.71952708338,0.746045809718
PID-1154,0,1,1,PID-1154,1,1,52,40,1,7.444,267,249028,24,0.473933025209,-1.24667754171
PID-1155,0,1,1,PID-1155,1,1,52,41,2,7.556,267,249028,24,0.867584167422,-0.48486415911
PID-1156,0,1,1,PID-1156,1,1,51,41,3,7.567,267,249028,24,2.30326034088,1.47315563455
PID-1157,0,1,1,PID-1157,1,1,54,40,0,6.851,268,249028,24,1.60227150824,0.592659055564
PID-1158,0,1,1,PID-1158,1,1,55,40,1,6.928,268,249028,24,0.908791264608,-0.416749903808
PID-1159,0,1,1,PID-1159,1,1,55,41,2,6.945,268,249028,24,1.4504818633,0.388037835818
PID-116,0,1,1,PID-116,1,1,38,15,2,5.964,267,249028,24,1.13306853347,-0.0645264663175
PID-1160,0,1,1,PID-1160,1,1,55,42,0,4.778,267,249028,24,0.511723102897,-1.1608798458
PID-1161,0,1,1,PID-1161,1,1,55,43,3,4.805,267,249028,24,1.33440716528,0.22703271357
PID-1162,0,1,1,PID-1162,1,1,54,43,2,4.759,267,249028,24,0.796904685777,-0.606445781307
PID-1163,0,1,1,PID-1163,1,1,53,43,3,4.795,267,249028,24,1.15873335927,-0.0272499402807
PID-1164,0,1,1,PID-1164,1,1,51,42,0,7.361,267,249028,24,1.5131226577,0.473650160707
PID-1165,0,1,1,PID-1165,1,1,52,42,1,7.408,267,249028,24,0.806698747523,-0.589020610601
PID-1166,0,1,1,PID-1166,1,1,52,43,2,7.514,267,249028,24,2.99864191321,2.28547934855
PID-1167,0,1,1,PID-1167,1,1,51,43,3,7.522,267,249028,24,0.384358959443,-1.4652029621
PID-1168,0,1,1,PID-1168,1,1,53,41,0,5.862,267,249028,24,0.815410645501,-0.573425848078
PID-1169,0,1,1,PID-1169,1,1,54,41,1,5.938,267,249028,24,1.32040634204,0.207276631675
PID-117,0,1,1,PID-117,1,1,35,14,0,7.316,267,249028,24,1.25433715075,0.113101256318
PID-1170,0,1,1,PID-1170,1,1,53,42,3,5.955,267,249028,24,0.175153222733,-2.16045639837
PID-1171,0,1,1,PID-1171,1,1,49,42,0,7.298,267,249028,24,1.47730414666,0.42487598587
PID-1172,0,1,1,PID-1172,1,1,50,42,1,7.365,267,249028,24,2.06009979699,1.17714338931
PID-1173,0,1,1,PID-1173,1,1,50,43,2,7.451,267,249028,24,0.981221231113,-0.2987825771
PID-1174,0,1,1,PID-1174,1,1,49,43,3,7.46,267,249028,24,2.08222461441,1.20427806871
PID-1175,0,1,1,PID-1175,1,1,48,42,1,5.877,267,249028,24,2.17391344351,1.31577731951
PID-1176,0,1,1,PID-1176,1,1,48,43,2,5.886,267,249028,24,1.13937935495,-0.0555508659837
PID-1177,0,1,1,PID-1177,1,1,47,43,3,5.971,267,249028,24,1.00817415269,-0.256122902083
PID-1178,0,1,1,PID-1178,1,1,45,42,0,5.904,267,249028,24,1.69700264712,0.717449139005
PID-1179,0,1,1,PID-1179,1,1,46,43,2,5.906,267,249028,24,0.682135632474,-0.813240525484
PID-118,0,1,1,PID-118,1,1,36,14,1,7.388,267,249028,24,1.68788340024,0.704414424143
PID-1180,0,1,1,PID-1180,1,1,45,43,3,6,267,249028,24,1.15196644196,-0.0376552830445
PID-1181,0,1,1,PID-1181,1,1,46,41,0,7.187,267,249028,24,0.885497504939,-0.454784050468
PID-1182,0,1,1,PID-1182,1,1,47,41,1,7.318,267,249028,24,0.0407800503694,-3.14159658839
PID-1183,0,1,1,PID-1183,1,1,47,42,2,7.34,267,249028,24,0.711283176366,-0.759092794655
PID-1184,0,1,1,PID-1184,1,1,46,42,3,7.348,267,249028,24,1.41020425787,0.333036869747
PID-1185,0,1,1,PID-1185,1,1,43,42,0,7.26,267,249028,24,1.12861569336,-0.0720204886344
PID-1186,0,1,1,PID-1186,1,1,44,42,1,7.353,267,249028,24,1.17898790543,0.00234566211777
PID-1187,0,1,1,PID-1187,1,1,44,43,2,7.412,267,249028,24,1.82201007216,0.878549635198
PID-1188,0,1,1,PID-1188,1,1,43,43,3,7.42,267,249028,24,0.701880347807,-0.777635224097
PID-1189,0,1,1,PID-1189,1,1,41,42,0,7.314,267,249028,24,1.77832723912,0.822215468185
PID-119,0,1,1,PID-119,1,1,36,15,2,7.508,267,249028,24,0.660239311711,-0.855111279664
PID-1190,0,1,1,PID-1190,1,1,42,42,1,7.364,267,249028,24,2.53238508277,1.74565329337
PID-1191,0,1,1,PID-1191,1,1,42,43,2,7.467,267,249028,24,0.852180598267,-0.510150709113
PID-1192,0,1,1,PID-1192,1,1,41,43,3,7.477,267,249028,24,2.08094493392,1.20181424912
PID-1193,0,1,1,PID-1193,1,1,40,43,2,4.764,267,249028,24,0.667945710673,-0.84171139729
PID-1194,0,1,1,PID-1194,1,1,39,43,3,4.762,267,249028,24,0.506745647713,-1.17195290187
PID-1195,0,1,1,PID-1195,1,1,39,41,0,7.347,267,249028,24,0.321192546255,-1.6398216529
