#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
603,VO36_2mA,1,1.2249900103e+000 
604,VFB36_2mA,1,4.9982601404e-001 
605,Line_Reg,1,-4.2984600441e-005 
606,TM_CHECK,1,9.9656199382e-007 
607,VO18_4A,1,1.5006799698e+000 
609,VFB18_4A,1,4.9991500378e-001 
610,TM_CHECK,1,1.0016100305e-006 
611,VO36_4A,1,3.3980801105e+000 
613,VFB36_4A,1,4.9972599745e-001 
614,TM_CHECK,1,9.8131204140e-007 
615,VO14_4A,1,1.2259900570e+000 
617,VFB14_4A,1,4.9988800287e-001 
618,Load_Reg,1,-2.2003900085e-004 
619,VO_Char,1,4.9987199903e-001 
620,TM_CHECK,1,9.9507803952e-007 
621,V_DO_TM,1,5.7040199637e-002 
622,I_DO_TM,1,5.0063198805e-001 
623,V_DO_RM,1,1.6747700050e-002 
624,I_DO_RM,1,1.0006400347e+000 
625,RATIO,1,3.4058499336e+000 
713,POK_LowV,1,3.2141599804e-003 
714,POK_del,1,7.1543800004e-005 

#########################################

#### RESULT packet 5 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5368799567e-001 
302,PIN8 OUT2,1,-4.6226799488e-001 
303,PIN9 OUT3,1,-4.8802700639e-001 
304,PIN10 OUT4,1,-4.9138298631e-001 
305,PIN11 OUT5,1,-4.9241098762e-001 
306,PIN6 IN6,1,-3.6776098609e-001 
307,PIN7 OUT1,1,-4.7879201174e-001 
308,PIN3 IN3,1,-4.5922398567e-001 
309,PIN4 IN4,1,-4.5964899659e-001 
310,PIN5 IN5,1,-4.5980000496e-001 
311,PIN2 IN2,1,-4.5994400978e-001 
312,PIN26 POK,1,-6.1709702015e-001 
313,PIN30 EN,1,-4.9563801289e-001 
314,PIN27 FB,1,-4.9484801292e-001 
315,PIN29 OTP,1,-4.9469199777e-001 
316,EXPOSED_PAD,1,4.5747701079e-002 
401,Vfb_pre,1,4.9737998843e-001 
402,Vout_pre,1,1.4907200336e+000 
403,Vfb_err,1,-5.2682501264e-003 
406,Vfb Err Post Expected,1,7.3174998397e-004 
407,Vref_post,1,5.5925501511e-004 
409,Vfb_post,1,5.0044500828e-001 
410,Ibias_pre,1,6.1736699308e-007 
411,Ibias_err,1,-6.1978197098e-001 
412,IbiasPost,1,1.0120400020e-006 
414,IbiasErr2,1,1.1894799769e-002 
415,Ilim8_pre,1,1.0480400085e+001 
416,Ilim_err,1,3.2464501262e-001 
417,Ilim8Post,1,7.1298599243e+000 
418,Ilim_err2,1,7.3264301755e-003 
420,Ilim8_sc,1,1.9837499857e+000 
421,IlimSCerr,1,-1.2223599851e-001 
502,Ishdn,1,2.4944499728e-006 
503,Icc1425,1,6.0201302404e-004 
504,Icc18,1,6.0953700449e-004 
505,Icc36,1,6.1488099163e-004 
506,Ien_high,1,-1.4488199529e-009 
507,Idrop_out,1,8.0687901936e-004 
508,Ien_low,1,-8.2388101896e-010 
509,Ifb,1,-9.0293204025e-009 
511,Ipok/r,1,4.2028698230e-012 
601,VO14_2mA,1,1.2269999981e+000 
602,VFB14_2mA,1,5.0059199333e-001 
603,VO36_2mA,1,1.2268899679e+000 
604,VFB36_2mA,1,5.0063598156e-001 
605,Line_Reg,1,-4.2984600441e-005 
606,TM_CHECK,1,1.0223100162e-006 
607,VO18_4A,1,1.5028500557e+000 
609,VFB18_4A,1,5.0078201294e-001 
610,TM_CHECK,1,1.0275799696e-006 
611,VO36_4A,1,3.4035100937e+000 
613,VFB36_4A,1,5.0054502487e-001 
614,TM_CHECK,1,1.0087200053e-006 
615,VO14_4A,1,1.2270699739e+000 
617,VFB14_4A,1,5.0084501505e-001 
618,Load_Reg,1,-1.6360399968e-005 
619,VO_Char,1,5.0066399574e-001 
620,TM_CHECK,1,1.0211200561e-006 
621,V_DO_TM,1,5.7908900082e-002 
622,I_DO_TM,1,5.0062197447e-001 
623,V_DO_RM,1,1.7023699358e-002 
624,I_DO_RM,1,1.0006300211e+000 
625,RATIO,1,3.4016499519e+000 
713,POK_LowV,1,3.2516499050e-003 
714,POK_del,1,7.0954600233e-005 

#########################################

#### RESULT packet 6 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5306399465e-001 
302,PIN8 OUT2,1,-4.5877000690e-001 
303,PIN9 OUT3,1,-4.8577800393e-001 
304,PIN10 OUT4,1,-4.8950898647e-001 
305,PIN11 OUT5,1,-4.9028700590e-001 
306,PIN6 IN6,1,-3.6962300539e-001 
307,PIN7 OUT1,1,-4.7704300284e-001 
308,PIN3 IN3,1,-4.5859900117e-001 
309,PIN4 IN4,1,-4.5877501369e-001 
310,PIN5 IN5,1,-4.5880100131e-001 
311,PIN2 IN2,1,-4.5844501257e-001 
312,PIN26 POK,1,-6.1738502979e-001 
313,PIN30 EN,1,-4.9363899231e-001 
314,PIN27 FB,1,-4.9372398853e-001 
315,PIN29 OTP,1,-4.9271899462e-001 
316,EXPOSED_PAD,1,4.5622900128e-002 
401,Vfb_pre,1,4.9502500892e-001 
402,Vout_pre,1,1.4840799570e+000 
403,Vfb_err,1,-1.0050299577e-002 
406,Vfb Err Post Expected,1,-5.0310398365e-005 
407,Vref_post,1,6.4879300771e-004 
409,Vfb_post,1,5.0000298023e-001 
410,Ibias_pre,1,6.3042301690e-007 
411,Ibias_err,1,-5.8623701334e-001 
412,IbiasPost,1,9.8184000308e-007 
414,IbiasErr2,1,-1.8496200442e-002 
415,Ilim8_pre,1,1.0178700447e+001 
416,Ilim_err,1,3.0462300777e-001 
417,Ilim8Post,1,7.3806099892e+000 
418,Ilim_err2,1,4.2751900852e-002 
420,Ilim8_sc,1,2.2890200615e+000 
421,IlimSCerr,1,1.2842900120e-002 
502,Ishdn,1,3.5837799714e-006 
503,Icc1425,1,5.8782100677e-004 
504,Icc18,1,5.9213902568e-004 
505,Icc36,1,5.9803301701e-004 
506,Ien_high,1,-1.7634399496e-009 
507,Idrop_out,1,8.3227199502e-004 
508,Ien_low,1,-9.7332597537e-010 
509,Ifb,1,-9.1865697271e-009 
511,Ipok/r,1,2.4425799924e-012 
601,VO14_2mA,1,1.2257800102e+000 
602,VFB14_2mA,1,5.0014299154e-001 
603,VO36_2mA,1,1.2258399725e+000 
604,VFB36_2mA,1,5.0020498037e-001 
605,Line_Reg,1,2.2664600692e-005 
606,TM_CHECK,1,9.9255601071e-007 
607,VO18_4A,1,1.5013899803e+000 
