mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
| ft_ptest_stats_summary  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 9851624184872959 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_run                  | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | 2008-11-07 17:49:05 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_sbin                 | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_sbin_stats_samples   | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 3377699720527871 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_sbin_stats_summary   | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 3377699720527871 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_sbl                  | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_sbl_set              | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_splitlot             | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |              1 | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_syl_set              | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_wyr                  | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_wyr_format           | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| gexdb_debug             | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:46:10 | 2008-11-07 14:46:10 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| global_info             | MyISAM |      10 | Dynamic    |          1 |             36 |          36 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-12 17:56:26 | 2008-11-12 18:20:39 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| incremental_update      | MyISAM |      10 | Dynamic    |          3 |             28 |         168 |  281474976710655 |         1024 |        84 |           NULL | 2008-11-07 14:45:54 | 2008-11-12 18:20:39 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
